,name,polygon,area
355,Park,"[(32.8371729, 39.993856), (32.8381523, 39.9929383), (32.8383777, 39.9930413), (32.8387652, 39.993732), (32.8377767, 39.9943227), (32.8371729, 39.993856)]",10771.062031816524
356,Ekrem Başbuğ Parkı,"[(32.8464147, 40.0003489), (32.8468022, 39.9999854), (32.8467429, 39.9997734), (32.8471186, 39.9995523), (32.8471897, 39.9995765), (32.8477394, 40.0004943), (32.8477592, 40.0009608), (32.8477552, 40.0011335), (32.8475456, 40.001082), (32.84734, 40.0010123), (32.8469723, 40.0010244), (32.8464147, 40.0003489)]",11945.303062055189
357,Şht. Piyade Kom. Er Ahmet Kubilay Parkı,"[(32.848898, 39.9956839), (32.8492831, 39.995565), (32.8494002, 39.9955627), (32.8494832, 39.9955991), (32.8496691, 39.9958323), (32.8497838, 39.99632), (32.8491985, 39.9964655), (32.8490698, 39.9961308), (32.848898, 39.9956839)]",4992.501781275148
362,Malazgirt Parkı,"[(32.8613735, 39.9726455), (32.8610954, 39.9725978), (32.8608879, 39.972302), (32.8612946, 39.9720539), (32.8614358, 39.9719616), (32.8616101, 39.9720539), (32.8613735, 39.9726455)]",2598.432901317465
365,İnsan Hakları Parkı,"[(32.8540925, 39.9578473), (32.8541718, 39.9576183), (32.8543121, 39.9575045), (32.8549173, 39.9570331), (32.8555271, 39.9574881), (32.855145, 39.9579618), (32.8548772, 39.9578037), (32.8547613, 39.9577647), (32.854619, 39.9577616), (32.8543731, 39.9578006), (32.8540925, 39.9578473)]",6424.48784109015
371,Kıbrıs Parkı,"[(32.8948209, 40.0233243), (32.8954136, 40.0231123), (32.895425, 40.0230275), (32.8954397, 40.0229777), (32.8954527, 40.0229527), (32.8954625, 40.0229028), (32.8954592, 40.0228642), (32.895469, 40.0227632), (32.8955569, 40.0222482), (32.8954576, 40.0224464), (32.8954283, 40.0225013), (32.8954136, 40.0225512), (32.895399, 40.0226173), (32.8953892, 40.0226921), (32.8953338, 40.0230026), (32.8953045, 40.023045), (32.895272, 40.0230849), (32.8952166, 40.0231098), (32.8951205, 40.023141), (32.8949903, 40.0231684), (32.894904, 40.0232283), (32.8948584, 40.0232682), (32.8948356, 40.0232956), (32.8948209, 40.0233243)]",1036.6886603058283
392,Ahmet Taner Kışlalı Parkı,"[(32.6843388, 39.88456), (32.6876259, 39.886971), (32.6877207, 39.8870423), (32.6877764, 39.8871012), (32.687796, 39.8871453), (32.6878003, 39.8871997), (32.686796, 39.8880241), (32.6864331, 39.8883442), (32.6863618, 39.8882983), (32.6859527, 39.8879304), (32.6854017, 39.8874856), (32.6852398, 39.8873568), (32.6849751, 39.8871485), (32.6842859, 39.8865986), (32.6842104, 39.8865394), (32.6840831, 39.8864413), (32.6838393, 39.8862503), (32.6841705, 39.8860466), (32.6840656, 39.8854626), (32.6843766, 39.8853724), (32.6839032, 39.8846625), (32.6843388, 39.88456)]",62357.8223891501
396,Özgürlük Parkı,"[(32.889483, 40.0242553), (32.8893326, 40.0242459), (32.8893228, 40.0242425), (32.8893193, 40.0242357), (32.8893193, 40.0242289), (32.8893228, 40.0242235), (32.8893308, 40.0242201), (32.8904722, 40.0242784), (32.8904782, 40.0242824), (32.8904819, 40.0242869), (32.8904819, 40.0242919), (32.8904787, 40.0242972), (32.8904733, 40.0243005), (32.8904605, 40.0243018), (32.889483, 40.0242553)]",282.3992250392404
403,Kafkas Parkı,"[(32.8490114, 40.0329635), (32.849613, 40.0335922), (32.8497038, 40.0335571), (32.8495696, 40.0334394), (32.8496218, 40.0333856), (32.8498278, 40.0332003), (32.8498407, 40.0331697), (32.8491282, 40.0328944), (32.8490114, 40.0329635)]",2104.1225242258092
404,Park,"[(32.7770736, 39.9841849), (32.7773541, 39.9837448), (32.7776789, 39.9838701), (32.7773961, 39.9843), (32.7770736, 39.9841849)]",1654.9706957295105
405,Park,"[(32.7921298, 39.984599), (32.7921717, 39.9845398), (32.7924103, 39.9844941), (32.7924987, 39.9847158), (32.7925937, 39.9848292), (32.7927085, 39.9849274), (32.7924258, 39.9851085), (32.7922955, 39.9849596), (32.7921806, 39.9848005), (32.7921298, 39.984599)]",1746.2837376811763
406,Cumhuriyet Parkı,"[(32.8531913, 39.9336909), (32.8531659, 39.933781), (32.8531082, 39.9338674), (32.8530358, 39.9339178), (32.8529499, 39.9339394), (32.8527649, 39.9339774), (32.8527013, 39.9339909), (32.8526667, 39.933233), (32.8526522, 39.9329162), (32.8525972, 39.9328894), (32.852734, 39.9323352), (32.8535682, 39.9314168), (32.853648, 39.9312888), (32.853731, 39.931318), (32.8538834, 39.9313716), (32.8534361, 39.9320246), (32.8531457, 39.9324848), (32.8531022, 39.932583), (32.8530686, 39.9326771), (32.8530492, 39.9327789), (32.8530317, 39.9328633), (32.8530217, 39.932911), (32.8530163, 39.9331311), (32.8530757, 39.933409), (32.8531364, 39.933545), (32.8531913, 39.9336909)]",10079.01491399279
407,Halil Tunç Parkı,"[(32.724233, 39.9788671), (32.7243947, 39.9776113), (32.7234759, 39.9775241), (32.723418, 39.9775303), (32.723367, 39.9775452), (32.722895, 39.9777746), (32.7219776, 39.9778726), (32.72205, 39.9782537), (32.7228436, 39.9783565), (32.7235013, 39.9785099), (32.7238915, 39.9786623), (32.724233, 39.9788671)]",17349.35712012826
410,Kanuni Parkı,"[(32.6168909, 39.980999), (32.6163469, 39.9801602), (32.6175821, 39.9800592), (32.6178485, 39.9805885), (32.6178594, 39.9810118), (32.6169676, 39.9810245), (32.6168909, 39.980999)]",10144.112509917988
419,Şehit Salim Akgül Anıtı,"[(32.8926204, 40.0286684), (32.8922978, 40.0286263), (32.8923272, 40.028352), (32.8926593, 40.028357), (32.8926204, 40.0286684)]",915.4735036564416
423,Turgut Özal Parkı,"[(32.8909827, 40.0299488), (32.8906422, 40.0299136), (32.8905609, 40.0296695), (32.8905011, 40.0295364), (32.89039, 40.0292892), (32.8903778, 40.0292122), (32.8903517, 40.0291943), (32.8903478, 40.0291524), (32.8903217, 40.0291497), (32.8903088, 40.0291101), (32.8902581, 40.0290932), (32.890358, 40.0290817), (32.8903994, 40.0290858), (32.8904378, 40.0290927), (32.8904613, 40.0291), (32.8905021, 40.0291157), (32.8905657, 40.0291442), (32.8905339, 40.0291749), (32.8905075, 40.0292048), (32.8904985, 40.0292223), (32.8904949, 40.0292443), (32.8904991, 40.0292632), (32.8905069, 40.0292806), (32.8905201, 40.0292963), (32.8905381, 40.0293119), (32.8905633, 40.029328), (32.8905807, 40.0293372), (32.8905993, 40.0293427), (32.8906365, 40.0293441), (32.8906521, 40.029362), (32.8906671, 40.0293726), (32.8906881, 40.0293808), (32.8907097, 40.0293827), (32.8907343, 40.0293831), (32.8908135, 40.0293753), (32.8908183, 40.0295035), (32.8907949, 40.0295081), (32.8907793, 40.0295118), (32.8907613, 40.0295228), (32.8907529, 40.0295348), (32.8907493, 40.0295463), (32.8907487, 40.0295614), (32.8907559, 40.0295752), (32.8907709, 40.0295899), (32.8907888, 40.0296007), (32.8908081, 40.0296065), (32.8908286, 40.0296078), (32.8908466, 40.0296055), (32.8908628, 40.0296005), (32.890876, 40.0295922), (32.8908838, 40.0295826), (32.8908892, 40.0295706), (32.8908916, 40.0295601), (32.8908892, 40.0295504), (32.8908856, 40.0295421), (32.8908796, 40.0295339), (32.8908712, 40.029526), (32.8908616, 40.0295182), (32.8908382, 40.0295063), (32.8908393, 40.0293737), (32.8908982, 40.0293569), (32.8909474, 40.0293376), (32.8909966, 40.0293146), (32.8910122, 40.0293045), (32.8910284, 40.0292903), (32.8910422, 40.0292839), (32.8910572, 40.0292829), (32.8913017, 40.0293675), (32.8909827, 40.0299488)]",3668.228287001176
425,Mimar Sinan Parkı,"[(32.8860639, 40.0283156), (32.8860195, 40.0284109), (32.8859978, 40.0284435), (32.8859671, 40.028476), (32.8859394, 40.0284972), (32.885889, 40.0285207), (32.8858139, 40.0285533), (32.8857585, 40.0285767), (32.8857061, 40.0285926), (32.8856162, 40.0286078), (32.8855529, 40.0286138), (32.8855074, 40.0286115), (32.885461, 40.0286062), (32.8854392, 40.0286305), (32.8854096, 40.0286532), (32.8853819, 40.028666), (32.8853473, 40.0286729), (32.8853176, 40.0286736), (32.885289, 40.0286713), (32.8852524, 40.0286638), (32.8852178, 40.0286494), (32.8851891, 40.0286305), (32.8851644, 40.0286032), (32.8851555, 40.0285714), (32.8849578, 40.0286994), (32.8849449, 40.0287115), (32.8849341, 40.0287349), (32.8849172, 40.0287607), (32.8848985, 40.0287819), (32.8848688, 40.028797), (32.8848095, 40.0288235), (32.8847947, 40.028825), (32.8847798, 40.0288227), (32.884766, 40.0288137), (32.8847571, 40.0287985), (32.8847601, 40.0287849), (32.884769, 40.0287728), (32.8847848, 40.0287682), (32.8848065, 40.0287682), (32.8848174, 40.028772), (32.8848293, 40.0287773), (32.8848737, 40.0287448), (32.8848866, 40.0287311), (32.8848935, 40.0287099), (32.8848925, 40.0286895), (32.8848836, 40.028666), (32.8848708, 40.0286479), (32.8848619, 40.028638), (32.8848214, 40.0286774), (32.8848263, 40.0286865), (32.8848283, 40.0286994), (32.8848233, 40.0287152), (32.8848115, 40.0287251), (32.8847937, 40.0287296), (32.8847798, 40.0287281), (32.8847294, 40.0287682), (32.8847166, 40.0287894), (32.884681, 40.0288583), (32.8846227, 40.0288636), (32.8846128, 40.0288545), (32.8846167, 40.0288432), (32.8846444, 40.0288265), (32.8846622, 40.0288121), (32.8846721, 40.0287962), (32.8846741, 40.0287796), (32.8846731, 40.0287614), (32.8846701, 40.028747), (32.8846622, 40.0287349), (32.8846503, 40.0287327), (32.8846375, 40.028738), (32.8846335, 40.0287455), (32.8846325, 40.0287614), (32.8846325, 40.0287773), (32.8846266, 40.0287947), (32.8846108, 40.0288114), (32.884593, 40.028822), (32.8845673, 40.0288341), (32.8845327, 40.0288394), (32.8844991, 40.0288401), (32.8844744, 40.0288364), (32.8844408, 40.0288258), (32.884419, 40.0288129), (32.8844012, 40.0287902), (32.8843903, 40.0287675), (32.8843854, 40.028738), (32.8843874, 40.0287213), (32.8843963, 40.0287031), (32.8844151, 40.0286857), (32.8843963, 40.0286706), (32.8843686, 40.0287115), (32.8843518, 40.0287395), (32.8843389, 40.0287645), (32.884337, 40.0287841), (32.884337, 40.0288159), (32.8843379, 40.0288386), (32.8843439, 40.0288598), (32.8843567, 40.0288848), (32.8843636, 40.0289325), (32.8850171, 40.0288273), (32.8860937, 40.0286857), (32.8860689, 40.028632), (32.885974, 40.0286244), (32.8859721, 40.0286388), (32.8859671, 40.0286486), (32.8859552, 40.0286585), (32.8859414, 40.0286668), (32.8859206, 40.0286736), (32.8859009, 40.0286744), (32.8858772, 40.0286706), (32.8858544, 40.0286607), (32.8858386, 40.0286479), (32.8858267, 40.0286312), (32.8858208, 40.0286161), (32.8858218, 40.0286047), (32.8858287, 40.0285919), (32.8858426, 40.0285767), (32.8858584, 40.0285639), (32.8858762, 40.0285578), (32.885894, 40.0285548), (32.8859226, 40.0285563), (32.8859454, 40.0285623), (32.8859592, 40.0285714), (32.8859661, 40.028582), (32.8859691, 40.0285994), (32.8860739, 40.0286153), (32.8860639, 40.0283156)]",2256.38887342464
442,İsmet İnönü Parkı,"[(32.8322291, 39.8599716), (32.8330372, 39.8599678), (32.8330397, 39.8591165), (32.8320647, 39.8591204), (32.8320029, 39.8591929), (32.8322291, 39.8599716)]",7513.991925863819
444,Şh.Pilot Üst. Fatih Korçam Parkı,"[(32.8891219, 40.0309246), (32.8888219, 40.0309218), (32.8888075, 40.0309191), (32.8888003, 40.0309099), (32.8888015, 40.0308933), (32.8888495, 40.0307453), (32.8891592, 40.030806), (32.8891219, 40.0309246)]",458.7923319297172
459,Yağmur Çocuk Parkı,"[(32.8909833, 40.0341097), (32.8909359, 40.0341281), (32.8909269, 40.034129), (32.8909173, 40.0341285), (32.8908993, 40.0341203), (32.8904761, 40.0338882), (32.8905368, 40.0338239), (32.8905458, 40.033823), (32.8905548, 40.033823), (32.8905608, 40.0338253), (32.8909881, 40.034107), (32.8909833, 40.0341097)]",379.0210662550822
468,Ihlamur Parkı,"[(32.883038, 40.0317475), (32.8829502, 40.0317399), (32.8829493, 40.031449), (32.883055, 40.031451), (32.883038, 40.0317475)]",269.4547874954309
490,Yıldırım Beyazıt Parkı,"[(32.8892878, 40.037218), (32.8891262, 40.0372616), (32.8891322, 40.0372909), (32.889149, 40.0372965), (32.889163, 40.0373006), (32.8891812, 40.0373099), (32.8891993, 40.0373206), (32.88921, 40.0373304), (32.8893052, 40.0373037), (32.8893206, 40.0372678), (32.8892878, 40.037218)]",126.7020408289544
498,Şh.P.Er Yunus Baş Parkı,"[(32.8910666, 40.0389116), (32.8906849, 40.0390457), (32.8906693, 40.039043), (32.8906285, 40.0389373), (32.8909034, 40.0388362), (32.890931, 40.0388298), (32.8909742, 40.0388224), (32.8910006, 40.0388187), (32.891021, 40.0388187), (32.8910666, 40.0389116)]",473.25017699797917
506,Yeşilöz Parkı,"[(32.8917393, 40.0345643), (32.8914981, 40.0342918), (32.8919054, 40.0344947), (32.8917393, 40.0345643)]",293.7869212146819
524,Fatih Sultan Mehmet Parkı,"[(32.8970673, 40.0371115), (32.8969403, 40.036816), (32.896937, 40.0367911), (32.8969403, 40.0367624), (32.8969484, 40.036715), (32.8969647, 40.0366801), (32.8970949, 40.0365019), (32.8970738, 40.0364931), (32.8970575, 40.0364944), (32.8969305, 40.0366652), (32.8969207, 40.0366839), (32.8969142, 40.0367138), (32.8969044, 40.0367362), (32.896893, 40.0367512), (32.8968735, 40.0367562), (32.8968491, 40.0367512), (32.8968002, 40.0367275), (32.8967383, 40.0366901), (32.8967025, 40.0366739), (32.8965315, 40.0366228), (32.8964697, 40.0366141), (32.8952761, 40.0365966), (32.8949699, 40.0367013), (32.8949862, 40.0367126), (32.8950432, 40.0367412), (32.8951018, 40.0367624), (32.8952028, 40.0367911), (32.8953445, 40.036816), (32.8954601, 40.036826), (32.8957206, 40.0368347), (32.896297, 40.0368435), (32.896823, 40.0368509), (32.8968523, 40.0368559), (32.8968702, 40.0368647), (32.8968947, 40.0368871), (32.8969419, 40.0369981), (32.8969598, 40.0370242), (32.8969858, 40.0370579), (32.8970347, 40.0371028), (32.8970494, 40.0371115), (32.8970673, 40.0371115)]",3933.193191402061
532,Necip Fazıl Parkı,"[(32.8975688, 40.030055), (32.897522, 40.0301037), (32.8974812, 40.0300936), (32.8974476, 40.0300872), (32.8974128, 40.0300863), (32.8973768, 40.0300872), (32.8973624, 40.0300899), (32.8973602, 40.0300862), (32.8971811, 40.0297857), (32.8973744, 40.0297012), (32.8973936, 40.0297434), (32.8974116, 40.0297765), (32.8974332, 40.029805), (32.8974548, 40.029828), (32.8975328, 40.0298712), (32.8975472, 40.0299787), (32.8975688, 40.030055)]",824.7496717087278
538,Adnan Menderes Parkı,"[(32.9005166, 40.0310934), (32.9007219, 40.0312), (32.9008947, 40.0312956), (32.9010292, 40.0313801), (32.901172, 40.0314877), (32.9013521, 40.0316402), (32.9014217, 40.031711), (32.9014853, 40.0317891), (32.9015273, 40.0318617), (32.9014289, 40.0317836), (32.9013605, 40.0317303), (32.9012788, 40.0316761), (32.9011996, 40.0316255), (32.9011288, 40.0315906), (32.9010424, 40.0315538), (32.9006187, 40.0314151), (32.9005551, 40.0313866), (32.900501, 40.0313581), (32.9004362, 40.0313195), (32.9003882, 40.0312827), (32.9003582, 40.0312487), (32.9003438, 40.0312276), (32.9003438, 40.0312083), (32.9003546, 40.0311963), (32.9005166, 40.0310934)]",1855.756068804263
542,Gündoğan Parkı,"[(32.7913037, 39.977948), (32.7914836, 39.9778737), (32.7927008, 39.9781283), (32.7929265, 39.9779628), (32.7930753, 39.9780989), (32.7931282, 39.9780768), (32.7932482, 39.9783123), (32.7931954, 39.9783344), (32.7932962, 39.9786508), (32.7933538, 39.9786544), (32.7933682, 39.9787722), (32.7933298, 39.9787685), (32.7933394, 39.9789341), (32.7933874, 39.9789377), (32.793421, 39.9791806), (32.7928305, 39.9792725), (32.7927825, 39.9789856), (32.7917982, 39.9788494), (32.7918558, 39.9785845), (32.7916542, 39.9785514), (32.7914477, 39.9782534), (32.7915341, 39.9781872), (32.7913037, 39.977948)]",15796.600924319539
544,Slovenya Parkı,"[(32.8512577, 39.8534519), (32.8510906, 39.8532594), (32.8511222, 39.8532011), (32.8510692, 39.8531378), (32.8514526, 39.8530031), (32.8517061, 39.8529383), (32.851958, 39.8528739), (32.8520748, 39.852844), (32.8522122, 39.8531847), (32.8512577, 39.8534519)]",3641.2491204373355
545,Jandarma Onbaşı Metin Özdemir Parkı,"[(32.8532557, 39.8522704), (32.8529003, 39.8522303), (32.8527649, 39.8518668), (32.853367, 39.8516506), (32.8532557, 39.8522704)]",2244.8195591519448
546,Cengiz Han Parkı,"[(32.8595403, 39.8687561), (32.8593862, 39.8683659), (32.8592467, 39.8680399), (32.8600537, 39.8678481), (32.860039, 39.8676081), (32.8607539, 39.8675306), (32.8609328, 39.8685749), (32.860719, 39.8685688), (32.8605827, 39.8685643), (32.8604237, 39.8685919), (32.8595403, 39.8687561)]",12730.765923405279
547,Botanik Bitkiler Parkı,"[(32.8678295, 39.8675681), (32.8680776, 39.8673179), (32.8680481, 39.8673025), (32.8682081, 39.8671349), (32.8689389, 39.8675342), (32.8690434, 39.8676214), (32.8691177, 39.8676935), (32.8691528, 39.8677446), (32.8691731, 39.8677822), (32.8691843, 39.8678113), (32.8691927, 39.8678463), (32.8691955, 39.8678731), (32.8691969, 39.867899), (32.8691987, 39.8679337), (32.8692001, 39.8679756), (32.8692011, 39.8680251), (32.8692011, 39.8680689), (32.869197, 39.8681314), (32.8691695, 39.8681883), (32.8691261, 39.868257), (32.8690481, 39.868225), (32.8689637, 39.8681776), (32.8685682, 39.867955), (32.8680943, 39.8677024), (32.867922, 39.8676149), (32.8678295, 39.8675681)]",6801.860761768084
550,Ressamlar Parkı,"[(32.8339494, 39.86364), (32.8344055, 39.8635073), (32.8344943, 39.8635589), (32.8347248, 39.8640012), (32.8341774, 39.8641689), (32.8339494, 39.86364)]",2955.919891161374
551,Birlik 2 Parkı,"[(32.8813116, 39.8820812), (32.8816609, 39.8819), (32.8812972, 39.8812837), (32.8812238, 39.8811603), (32.8807285, 39.8813468), (32.8813116, 39.8820812)]",3845.61113993263
552,Francisco de Miranda Parkı,"[(32.8801944, 39.8793489), (32.8803162, 39.8795813), (32.8803338, 39.8796148), (32.8805424, 39.8800127), (32.8797483, 39.8802826), (32.8795847, 39.8798921), (32.8794257, 39.8799103), (32.8793838, 39.8793511), (32.8794263, 39.8793511), (32.8794742, 39.8793511), (32.8801944, 39.8793489)]",7006.12762994912
555,Destina Peri Parlak Parkı,"[(32.8247272, 39.8814287), (32.8251298, 39.8814371), (32.825166, 39.8814866), (32.8252139, 39.8824768), (32.8248786, 39.8825107), (32.824799, 39.8829664), (32.8247037, 39.8829775), (32.8246782, 39.8814786), (32.8247272, 39.8814287)]",5677.324681789509
558,75. Yıl Parkı,"[(32.8413867, 39.8511201), (32.8412939, 39.8510967), (32.840255, 39.8508377), (32.8402011, 39.8513595), (32.8401953, 39.8514776), (32.8401951, 39.8515733), (32.840251, 39.8517865), (32.8402899, 39.8519131), (32.8403369, 39.8520315), (32.8404307, 39.8522024), (32.8412333, 39.8515561), (32.8412046, 39.8515477), (32.841171, 39.851524), (32.8411657, 39.8514972), (32.8413867, 39.8511201)]",9257.491456687965
559,Park,"[(32.565501, 39.9521647), (32.5659321, 39.9515655), (32.5663398, 39.9517669), (32.5659178, 39.9523501), (32.565501, 39.9521647)]",3092.8528791694575
560,Park,"[(32.5611857, 39.9586003), (32.5615413, 39.9582673), (32.5624828, 39.9584796), (32.5612119, 39.9586338), (32.5611857, 39.9586003)]",2064.905601863784
561,Park,"[(32.5983304, 39.9699136), (32.5984459, 39.9699213), (32.5992741, 39.9697152), (32.5992794, 39.969585), (32.5984168, 39.9696122), (32.5983613, 39.9696699), (32.5983137, 39.969839), (32.5983304, 39.9699136)]",2027.237047869777
562,Elvankent Parkı,"[(32.6073428, 39.9552214), (32.6075156, 39.9553245), (32.6082262, 39.9552766), (32.6082886, 39.9551957), (32.6084471, 39.9552104), (32.6083367, 39.9534842), (32.6080342, 39.9534143), (32.6073716, 39.9534253), (32.6071795, 39.9535726), (32.6073428, 39.9552214)]",19774.01900612547
563,Mogan Parkı,"[(32.7908687, 39.7846174), (32.7910594, 39.784533), (32.7909897, 39.7842816), (32.7910433, 39.7841167), (32.7910648, 39.7839435), (32.7908985, 39.7825914), (32.7906221, 39.7821693), (32.7905283, 39.7819441), (32.7906249, 39.7814206), (32.7906221, 39.7809057), (32.790238, 39.7802804), (32.7899928, 39.7799826), (32.7899395, 39.7798003), (32.7902003, 39.7788323), (32.7901873, 39.7786776), (32.7900124, 39.7783566), (32.7899596, 39.7782328), (32.7898927, 39.7780338), (32.7897643, 39.7775083), (32.7895331, 39.7767575), (32.7894604, 39.7766148), (32.7893668, 39.7764124), (32.7892244, 39.7761196), (32.7891644, 39.7758542), (32.7890679, 39.7757181), (32.7888855, 39.7757346), (32.788805, 39.7758171), (32.7888694, 39.7758954), (32.7888855, 39.7760521), (32.7887996, 39.7760892), (32.7886763, 39.776048), (32.788569, 39.7760974), (32.7883276, 39.7761222), (32.7881988, 39.7761304), (32.7881666, 39.776048), (32.7882096, 39.7759573), (32.7880701, 39.7757882), (32.7878126, 39.7756439), (32.7875927, 39.7754378), (32.7873888, 39.7752028), (32.787244, 39.7750255), (32.7871206, 39.7747616), (32.7869709, 39.7744112), (32.7867826, 39.7740772), (32.7863374, 39.773566), (32.7859198, 39.7730856), (32.7856012, 39.7725712), (32.7855334, 39.7722255), (32.7858354, 39.772145), (32.7859668, 39.7715781), (32.7857304, 39.7706223), (32.7856839, 39.7704459), (32.7853206, 39.7699879), (32.7847429, 39.7696444), (32.7845212, 39.7695439), (32.7844047, 39.7695832), (32.78415, 39.7695184), (32.7839443, 39.7694631), (32.7837479, 39.7694022), (32.7836543, 39.7693431), (32.7835724, 39.7692482), (32.7835581, 39.7690981), (32.7836649, 39.7689354), (32.784078, 39.7687061), (32.7843601, 39.7685388), (32.7848008, 39.767856), (32.7851716, 39.7674293), (32.7853064, 39.7672283), (32.7854235, 39.7670656), (32.7860436, 39.7665026), (32.7861853, 39.766282), (32.7860545, 39.7661312), (32.7857529, 39.7659971), (32.7846048, 39.7658435), (32.7840089, 39.7656927), (32.7831224, 39.7653715), (32.7823848, 39.7649303), (32.7819198, 39.7648074), (32.7811204, 39.7648325), (32.7805536, 39.7646621), (32.7794818, 39.7644052), (32.7791185, 39.76457), (32.7788382, 39.7648224), (32.778737, 39.7649135), (32.7783398, 39.7655041), (32.7783055, 39.7655409), (32.7783068, 39.7657042), (32.7783258, 39.7657502), (32.7783387, 39.7658151), (32.7782085, 39.7659054), (32.7779382, 39.7661235), (32.7778196, 39.7662374), (32.7777565, 39.7663086), (32.7776268, 39.7664862), (32.7774693, 39.7667597), (32.7773796, 39.766904), (32.7773238, 39.7669807), (32.7770953, 39.767204), (32.776926, 39.7673737), (32.7765085, 39.7678005), (32.7761528, 39.7681612), (32.7758319, 39.768488), (32.7756565, 39.7686961), (32.7755027, 39.7688852), (32.7751904, 39.7693521), (32.7751212, 39.7694702), (32.7750335, 39.7696685), (32.774935, 39.7698843), (32.7748619, 39.7700567), (32.7747727, 39.7702938), (32.7746628, 39.7706328), (32.7746424, 39.7707031), (32.7746259, 39.7711564), (32.7746135, 39.7713365), (32.7745565, 39.7715583), (32.7744871, 39.7717271), (32.7744099, 39.7718023), (32.7743233, 39.7718899), (32.7739255, 39.7720991), (32.7742827, 39.7725006), (32.7746778, 39.7720925), (32.7747598, 39.7720086), (32.7748448, 39.7719107), (32.7749028, 39.7718008), (32.7750388, 39.7714584), (32.7752736, 39.7708778), (32.7755827, 39.77007), (32.7759326, 39.7694206), (32.7762768, 39.7689229), (32.7766176, 39.7685159), (32.7769579, 39.7681566), (32.7771559, 39.7681617), (32.7777876, 39.7676042), (32.7778112, 39.7675858), (32.7791239, 39.7666603), (32.7792998, 39.7665367), (32.780321, 39.7658014), (32.7805365, 39.7656459), (32.7807913, 39.7655186), (32.7810602, 39.7654512), (32.7813504, 39.7654301), (32.7816016, 39.7654549), (32.781791, 39.7655027), (32.7820077, 39.765581), (32.7824612, 39.7658133), (32.7830952, 39.7661109), (32.7837718, 39.7664268), (32.7841597, 39.7666092), (32.7842857, 39.7667209), (32.7843781, 39.7668333), (32.7844138, 39.7669458), (32.7844427, 39.7670727), (32.7844085, 39.7672068), (32.7843615, 39.7673337), (32.7842378, 39.7674814), (32.7837722, 39.7680609), (32.783037, 39.7687571), (32.7828745, 39.7689543), (32.7827473, 39.7691515), (32.7825635, 39.7694303), (32.7824999, 39.7695983), (32.7824646, 39.7697663), (32.7824875, 39.7699966), (32.7825449, 39.7701689), (32.7826661, 39.7704011), (32.7844272, 39.7723397), (32.7853016, 39.7733517), (32.7863054, 39.7744915), (32.7860116, 39.7752509), (32.7862132, 39.7753956), (32.7866669, 39.7755547), (32.7871613, 39.7758142), (32.7879052, 39.7766483), (32.7885227, 39.7780169), (32.7885451, 39.7791327), (32.7876352, 39.7796468), (32.7867301, 39.7803082), (32.7857363, 39.7805772), (32.7853048, 39.7807207), (32.7848173, 39.7809934), (32.786067, 39.7815401), (32.7864482, 39.7816849), (32.7882337, 39.7825408), (32.7892075, 39.7838028), (32.7897743, 39.7848303), (32.7908687, 39.7846174)]",452492.7614034921
565,Şehit Jandarma Teğmen Korhan Kuruçay Parkı,"[(32.6422, 39.8567787), (32.6411212, 39.8564993), (32.6410692, 39.8564401), (32.6411564, 39.8555505), (32.6412461, 39.8554583), (32.6417025, 39.8549928), (32.6419101, 39.8551223), (32.6425619, 39.8544777), (32.6428972, 39.8546435), (32.6427272, 39.8548119), (32.6416634, 39.8558553), (32.6416258, 39.8559171), (32.6416285, 39.8560798), (32.6425378, 39.8565298), (32.6423531, 39.8567205), (32.6422748, 39.8567754), (32.642238, 39.8567828), (32.6422, 39.8567787)]",15174.037393317272
566,Ethem Sarısülük Parkı,"[(32.7275575, 39.9708915), (32.7275972, 39.9704414), (32.7289731, 39.9705285), (32.7289212, 39.9710199), (32.7275575, 39.9708915)]",6158.643284272228
567,Ahmet Ayık Parkı,"[(32.7952217, 39.9568295), (32.795147, 39.9565646), (32.7950375, 39.9561249), (32.795091, 39.9560967), (32.795402, 39.9561024), (32.7972334, 39.9561544), (32.7972689, 39.9561507), (32.7973057, 39.9561398), (32.7973378, 39.9561197), (32.797366, 39.9560976), (32.7973817, 39.9560786), (32.7973974, 39.9560579), (32.7974266, 39.9560278), (32.7974513, 39.9560024), (32.797492, 39.9560029), (32.7982465, 39.9560146), (32.7989226, 39.9560256), (32.7989533, 39.9560224), (32.7989805, 39.9560164), (32.7990097, 39.9560045), (32.7990371, 39.9559912), (32.799091, 39.955956), (32.7991538, 39.9559031), (32.7992369, 39.9558258), (32.79932, 39.9557134), (32.7993907, 39.9555928), (32.7996569, 39.9556298), (32.7995657, 39.9562098), (32.7992014, 39.9562823), (32.7987293, 39.9563737), (32.7969774, 39.9567204), (32.7967001, 39.9567689), (32.7964249, 39.9568156), (32.7961353, 39.9568618), (32.7958701, 39.9568986), (32.7956675, 39.9569213), (32.7954588, 39.9569441), (32.7953482, 39.9569481), (32.7952911, 39.9569455), (32.7952725, 39.9569417), (32.7952542, 39.956931), (32.7952429, 39.9569054), (32.7952217, 39.9568295)]",24986.774115081967
568,Adıgüzel Kılıç Parkı,"[(32.8475779, 40.009827), (32.8481406, 40.0096833), (32.8483459, 40.0100953), (32.8478822, 40.0102824), (32.8477831, 40.0102444), (32.8475779, 40.009827)]",2666.604017134389
