,name,polygon,area
12,Hilal Parkı,"[(32.8575469, 39.8708423), (32.8581677, 39.8708412), (32.8582437, 39.8714261), (32.8575907, 39.871585), (32.8575469, 39.8708423)]",4058.3282961459176
14,Kurtuluş Parkı,"[(32.8630354, 39.9278899), (32.863207, 39.9280685), (32.8633016, 39.9282411), (32.8633087, 39.9282952), (32.8664215, 39.9280758), (32.8665487, 39.9280447), (32.8666591, 39.9280217), (32.8668024, 39.9279594), (32.8668669, 39.9279017), (32.866879, 39.9278638), (32.8668568, 39.9277936), (32.866808, 39.927691), (32.8667143, 39.927541), (32.8665567, 39.9273835), (32.8635096, 39.9251721), (32.8627144, 39.9246161), (32.8625918, 39.9245405), (32.8624686, 39.9245146), (32.8623342, 39.9245265), (32.8621923, 39.9245843), (32.860604, 39.9261964), (32.861849, 39.9271054), (32.8630354, 39.9278899)]",114967.56204462776
15,Süvari Parkı,"[(32.8679252, 39.8841131), (32.8677846, 39.8840754), (32.8675496, 39.8840131), (32.8672659, 39.8845495), (32.8671635, 39.8846948), (32.8670594, 39.8848312), (32.8673003, 39.8848373), (32.8673607, 39.8848424), (32.8674017, 39.8848502), (32.867502, 39.884869), (32.8679252, 39.8841131)]",3168.055870630692
16,Anıt Park,"[(32.8349575, 39.9217522), (32.8336705, 39.9231288), (32.8334133, 39.9230674), (32.8341419, 39.9212751), (32.8344231, 39.9207045), (32.8347487, 39.9208972), (32.8349221, 39.9210465), (32.8350637, 39.9211849), (32.8351415, 39.9213234), (32.8351486, 39.9214455), (32.8351026, 39.9215677), (32.8349575, 39.9217522)]",16057.322599116205
17,Demetevler Parkı,"[(32.7956017, 39.9686709), (32.7955845, 39.9676842), (32.7953957, 39.9668224), (32.7961156, 39.9664354), (32.7957118, 39.9659138), (32.7956695, 39.9658414), (32.796563, 39.965487), (32.7978676, 39.9649476), (32.7983482, 39.9673421), (32.7977732, 39.9675394), (32.7974213, 39.9677631), (32.7972067, 39.9680657), (32.7971972, 39.968596), (32.7956017, 39.9686709)]",68079.03404456853
18,İsmail Hakkı Tonguç Parkı,"[(32.7208285, 39.9579191), (32.721573, 39.9578291), (32.7232154, 39.9578231), (32.7214483, 39.9570245), (32.7200524, 39.956118), (32.7198387, 39.9562955), (32.7198189, 39.9563267), (32.7198207, 39.9563647), (32.7204708, 39.9574322), (32.7206231, 39.9578275), (32.7206563, 39.957872), (32.7206974, 39.9578975), (32.7207582, 39.9579153), (32.7208285, 39.9579191)]",21360.426211076883
19,Ali Dinçer Parkı,"[(32.7174207, 39.9697519), (32.7179419, 39.9692666), (32.718143, 39.9692677), (32.718611, 39.9688074), (32.7186261, 39.9686113), (32.7190977, 39.9680826), (32.719784, 39.9683698), (32.7207291, 39.9687818), (32.7212629, 39.969001), (32.7206929, 39.9688333), (32.7197501, 39.9685216), (32.7196954, 39.9685204), (32.7196628, 39.968598), (32.7196809, 39.9686145), (32.7211297, 39.9690582), (32.7212472, 39.9690901), (32.7214231, 39.9691379), (32.7219053, 39.9692607), (32.7220931, 39.9693049), (32.7223174, 39.9693492), (32.7225092, 39.9693841), (32.7226971, 39.9694124), (32.7228819, 39.9694242), (32.7230971, 39.9694344), (32.7233895, 39.9694364), (32.7236351, 39.9694243), (32.7238807, 39.9694015), (32.7241583, 39.9693675), (32.724142, 39.969319), (32.7241166, 39.9692432), (32.7241106, 39.9692253), (32.7241967, 39.9691884), (32.7244467, 39.9691427), (32.7245988, 39.9691082), (32.7247482, 39.9690603), (32.7252953, 39.9688182), (32.7262727, 39.9683001), (32.726454, 39.9685481), (32.7255671, 39.9689692), (32.7227524, 39.9701926), (32.7226132, 39.9700999), (32.7219575, 39.9702825), (32.7220068, 39.9703904), (32.7216768, 39.970435), (32.7213487, 39.9704434), (32.7209241, 39.9704284), (32.7205621, 39.970388), (32.7204452, 39.9702604), (32.719072, 39.9700578), (32.7190426, 39.9701646), (32.7187355, 39.9701194), (32.7174832, 39.9698708), (32.717417, 39.9698229), (32.7174207, 39.9697519)]",76634.50407361094
20,Yıldırım Beyazıt Parkı,"[(32.7164205, 39.9705612), (32.7166735, 39.970416), (32.7168456, 39.9703353), (32.7170363, 39.97027), (32.7172849, 39.9702635), (32.7175973, 39.9702776), (32.7179679, 39.9703273), (32.7189582, 39.9704769), (32.7189877, 39.9706014), (32.7179821, 39.9708047), (32.7174251, 39.9709428), (32.7170157, 39.9710463), (32.7166208, 39.9711824), (32.7148956, 39.9719323), (32.7138504, 39.9726734), (32.713736, 39.9725883), (32.7164205, 39.9705612)]",21658.45596401381
21,Şehit Teğmen Kubilay Parkı,"[(32.7103724, 39.9742016), (32.7097801, 39.9734386), (32.7107758, 39.9731163), (32.7108015, 39.9733465), (32.7107586, 39.9736425), (32.7107157, 39.973899), (32.710647, 39.9740371), (32.7103724, 39.9742016)]",5987.140536309464
22,Bergama Parkı,"[(32.7093678, 39.976204), (32.7097586, 39.9761889), (32.7101874, 39.9754917), (32.7094549, 39.9752033), (32.7093678, 39.976204)]",4853.089502035347
